PU_BOROUGH,PU_ZONE,P99_DUR,P99_DIST
Staten Island,Port Richmond,41.790000000000006,5.3184000000000005
Manhattan,Midtown Center,41.7349246917733,16.72934120228595
Manhattan,Penn Station/Madison Sq West,41.66055445413687,13.512036714863488
Queens,Astoria Park,41.51999999999998,17.173199999999984
Queens,Elmhurst,41.286523437499966,11.167034666666659
Manhattan,Marble Hill,41.26999999999998,12.265099999999999
Manhattan,Central Harlem,41.12044753086414,13.33243935790722
Manhattan,Midtown South,41.0,16.556957513190003
Manhattan,Bloomingdale,40.99999999999999,13.29310722689074
Brooklyn,Green-Wood Cemetery,40.72,12.668999999999999
Manhattan,East Chelsea,40.67363769174581,14.07521388175778
Staten Island,Rossville/Woodrow,40.64,27.232699999999998
Manhattan,Meatpacking/West Village West,40.40792920999803,13.691776767676721
Manhattan,SoHo,40.305740740740646,13.483698469387715
Manhattan,East Harlem North,40.0,12.216000222222236
Manhattan,West Chelsea/Hudson Yards,40.0,12.170429701092589
Brooklyn,Sheepshead Bay,39.98999999999978,16.898999999999976
Manhattan,Midtown East,39.946458197787884,16.349274709809954
Manhattan,Manhattan Valley,39.91327999999998,11.890348051948031
Manhattan,Central Park,39.76970436067995,11.396289723320153
Manhattan,Two Bridges/Seward Park,39.46933333333339,14.971103809523832
Manhattan,UN/Turtle Bay South,39.0,16.15694495416624
Manhattan,Lincoln Square East,38.99315282126848,11.698701739477746
Manhattan,Lincoln Square West,38.85760185185185,11.568604674840081
Manhattan,Upper West Side North,38.26851843009926,11.489961409114166
Manhattan,Lenox Hill East,38.122080079836984,12.030177063711879
Manhattan,Flatiron,38.03579405737707,12.279025627039646
Manhattan,Little Italy/NoLiTa,38.0,11.909045514523356
Manhattan,Union Sq,38.0,11.6716267179059
Manhattan,Upper West Side South,38.0,11.252104753863575
Manhattan,Greenwich Village North,37.9869387755102,11.446142036948647
Manhattan,West Village,37.89845117845117,11.58190218790218
Manhattan,Greenwich Village South,37.72035230934484,11.867476509127291
Manhattan,Governor's Island/Ellis Island/Liberty Island,37.199999999999996,13.373999999999983
Manhattan,Lower East Side,37.001217228464405,12.538491708091092
Manhattan,Murray Hill,37.00000000000001,15.759370203747341
Manhattan,Alphabet City,37.00000000000001,12.364252450980391
Manhattan,Gramercy,37.0,12.386396190562134
Manhattan,East Village,36.76451389914494,12.276017203072549
Manhattan,Upper East Side North,36.157274305555504,9.63891797345644
Manhattan,Stuy Town/Peter Cooper Village,36.0,13.635280000000085
Manhattan,Yorkville East,36.0,13.025707977207942
Manhattan,Sutton Place/Turtle Bay North,36.0,12.746808203991158
Manhattan,Kips Bay,36.0,12.684910516339912
Manhattan,Yorkville West,36.0,11.835798113493034
Manhattan,Upper East Side South,35.2625274765878,9.947147457943911
Bronx,Country Club,35.08,16.3538
Manhattan,Lenox Hill West,35.0,10.595879427177026
Staten Island,Westerleigh,34.529999999999994,16.92479999999999
Bronx,Rikers Island,31.5,12.975
Staten Island,West Brighton,28.759999999999998,14.923999999999996
Bronx,City Island,21.31,8.087299999999999
Queens,Broad Channel,15.92,9.504
Staten Island,Arden Heights,10.96,4.4569
