YEAR,MONTH,PU_BOROUGH,LENGTH_BUCKET,TRIPS,SHARE_BUCKET
2016,3,Queens,SHORT<1mi,123256,0.112919
2016,3,Staten Island,LONG>=5mi,210,0.268542
2016,3,Staten Island,MED<5mi,392,0.501279
2016,3,Staten Island,SHORT<1mi,180,0.230179
2016,3,Unknown,LONG>=5mi,23763,0.138992
2016,3,Unknown,MED<5mi,105995,0.619973
2016,3,Unknown,SHORT<1mi,41209,0.241035
2016,4,Bronx,LONG>=5mi,15356,0.176032
2016,4,Bronx,MED<5mi,54004,0.619071
2016,4,Bronx,SHORT<1mi,17874,0.204897
2016,4,Brooklyn,LONG>=5mi,146342,0.180468
2016,4,Brooklyn,MED<5mi,520291,0.64162
2016,4,Brooklyn,SHORT<1mi,144269,0.177912
2016,4,EWR,LONG>=5mi,59,0.287805
2016,4,EWR,MED<5mi,49,0.239024
2016,4,EWR,SHORT<1mi,97,0.473171
2016,4,Manhattan,LONG>=5mi,1180566,0.104971
2016,4,Manhattan,MED<5mi,7316465,0.650547
2016,4,Manhattan,SHORT<1mi,2749611,0.244483
2016,4,N/A,LONG>=5mi,979,0.262607
2016,4,N/A,MED<5mi,1643,0.440719
2016,4,N/A,SHORT<1mi,1106,0.296674
2016,4,Queens,LONG>=5mi,587650,0.551119
2016,4,Queens,MED<5mi,358714,0.336415
2016,4,Queens,SHORT<1mi,119921,0.112466
2016,4,Staten Island,LONG>=5mi,187,0.22104
2016,4,Staten Island,MED<5mi,444,0.524823
2016,4,Staten Island,SHORT<1mi,215,0.254137
2016,4,Unknown,LONG>=5mi,21866,0.137478
2016,4,Unknown,MED<5mi,98404,0.618695
2016,4,Unknown,SHORT<1mi,38781,0.243827
2016,5,Bronx,LONG>=5mi,15352,0.181909
2016,5,Bronx,MED<5mi,52364,0.620471
2016,5,Bronx,SHORT<1mi,16678,0.197621
2016,5,Brooklyn,LONG>=5mi,155097,0.185683
2016,5,Brooklyn,MED<5mi,537548,0.643557
2016,5,Brooklyn,SHORT<1mi,142632,0.17076
2016,5,EWR,LONG>=5mi,69,0.292373
2016,5,EWR,MED<5mi,47,0.199153
2016,5,EWR,SHORT<1mi,120,0.508475
2016,5,Manhattan,LONG>=5mi,1209079,0.108925
2016,5,Manhattan,MED<5mi,7233759,0.651684
2016,5,Manhattan,SHORT<1mi,2657266,0.239391
2016,5,N/A,LONG>=5mi,957,0.261404
2016,5,N/A,MED<5mi,1587,0.433488
2016,5,N/A,SHORT<1mi,1117,0.305108
2016,5,Queens,LONG>=5mi,640505,0.573848
2016,5,Queens,MED<5mi,358550,0.321236
2016,5,Queens,SHORT<1mi,117103,0.104916
2016,5,Staten Island,LONG>=5mi,202,0.219327
2016,5,Staten Island,MED<5mi,467,0.507058
2016,5,Staten Island,SHORT<1mi,252,0.273616
2016,5,Unknown,LONG>=5mi,19668,0.143778
2016,5,Unknown,MED<5mi,84140,0.615085
2016,5,Unknown,SHORT<1mi,32986,0.241136
2016,6,Bronx,LONG>=5mi,13720,0.182202
2016,6,Bronx,MED<5mi,46411,0.61634
2016,6,Bronx,SHORT<1mi,15170,0.201458
2016,6,Brooklyn,LONG>=5mi,136597,0.183437
2016,6,Brooklyn,MED<5mi,481144,0.64613
2016,6,Brooklyn,SHORT<1mi,126914,0.170433
2016,6,EWR,LONG>=5mi,50,0.240385
2016,6,EWR,MED<5mi,42,0.201923
2016,6,EWR,SHORT<1mi,116,0.557692
2016,6,Manhattan,LONG>=5mi,1124655,0.107716
2016,6,Manhattan,MED<5mi,6814816,0.652702
2016,6,Manhattan,SHORT<1mi,2501460,0.239582
2016,6,N/A,LONG>=5mi,967,0.270263
2016,6,N/A,MED<5mi,1511,0.422303
2016,6,N/A,SHORT<1mi,1100,0.307434
2016,6,Queens,LONG>=5mi,604160,0.573095
2016,6,Queens,MED<5mi,341879,0.3243
2016,6,Queens,SHORT<1mi,108167,0.102605
2016,6,Staten Island,LONG>=5mi,231,0.262799
2016,6,Staten Island,MED<5mi,433,0.492605
2016,6,Staten Island,SHORT<1mi,215,0.244596
2016,6,Unknown,LONG>=5mi,17832,0.139437
2016,6,Unknown,MED<5mi,78956,0.617394
2016,6,Unknown,SHORT<1mi,31098,0.24317
2016,7,Bronx,LONG>=5mi,13116,0.19486
2016,7,Bronx,MED<5mi,40784,0.605913
2016,7,Bronx,SHORT<1mi,13410,0.199227
2016,7,Brooklyn,LONG>=5mi,126939,0.185367
2016,7,Brooklyn,MED<5mi,439273,0.641465
2016,7,Brooklyn,SHORT<1mi,118585,0.173168
2016,7,EWR,LONG>=5mi,62,0.352273
2016,7,EWR,MED<5mi,33,0.1875
2016,7,EWR,SHORT<1mi,81,0.460227
2016,7,Manhattan,LONG>=5mi,1031831,0.106907
2016,7,Manhattan,MED<5mi,6309327,0.653703
2016,7,Manhattan,SHORT<1mi,2310521,0.239391
2016,7,N/A,LONG>=5mi,868,0.278562
2016,7,N/A,MED<5mi,1291,0.414313
2016,7,N/A,SHORT<1mi,957,0.307125
2016,7,Queens,LONG>=5mi,573797,0.567878
2016,7,Queens,MED<5mi,332129,0.328703
2016,7,Queens,SHORT<1mi,104497,0.103419
2016,7,Staten Island,LONG>=5mi,291,0.337196
2016,7,Staten Island,MED<5mi,391,0.453071
2016,7,Staten Island,SHORT<1mi,181,0.209733
2016,7,Unknown,LONG>=5mi,17166,0.139199
2016,7,Unknown,MED<5mi,76405,0.619567
2016,7,Unknown,SHORT<1mi,29749,0.241234
2016,8,Bronx,LONG>=5mi,11812,0.195269
2016,8,Bronx,MED<5mi,36528,0.603858
2016,8,Bronx,SHORT<1mi,12151,0.200873
2016,8,Brooklyn,LONG>=5mi,116843,0.1854
2016,8,Brooklyn,MED<5mi,404229,0.641409
2016,8,Brooklyn,SHORT<1mi,109148,0.17319
2016,8,EWR,LONG>=5mi,43,0.212871
2016,8,EWR,MED<5mi,43,0.212871
2016,8,EWR,SHORT<1mi,116,0.574257
2016,8,Manhattan,LONG>=5mi,977160,0.104706
2016,8,Manhattan,MED<5mi,6083381,0.651853
2016,8,Manhattan,SHORT<1mi,2271904,0.243441
2016,8,N/A,LONG>=5mi,811,0.273524
2016,8,N/A,MED<5mi,1209,0.407757
2016,8,N/A,SHORT<1mi,945,0.318718
2016,8,Queens,LONG>=5mi,554185,0.577188
2016,8,Queens,MED<5mi,308536,0.321342
2016,8,Queens,SHORT<1mi,97426,0.10147
2016,8,Staten Island,LONG>=5mi,173,0.228232
2016,8,Staten Island,MED<5mi,420,0.55409
2016,8,Staten Island,SHORT<1mi,165,0.217678
2016,8,Unknown,LONG>=5mi,17018,0.139933
2016,8,Unknown,MED<5mi,75250,0.618756
2016,8,Unknown,SHORT<1mi,29347,0.241311
2016,9,Bronx,LONG>=5mi,11108,0.188386
2016,9,Bronx,MED<5mi,35805,0.607235
2016,9,Bronx,SHORT<1mi,12051,0.204379
2016,9,Brooklyn,LONG>=5mi,105306,0.179578
2016,9,Brooklyn,MED<5mi,375368,0.640114
2016,9,Brooklyn,SHORT<1mi,105734,0.180308
2016,9,EWR,LONG>=5mi,60,0.26087
2016,9,EWR,MED<5mi,60,0.26087
2016,9,EWR,SHORT<1mi,110,0.478261
2016,9,Manhattan,LONG>=5mi,1012272,0.10673
2016,9,Manhattan,MED<5mi,6172186,0.650771
2016,9,Manhattan,SHORT<1mi,2299963,0.242499
2016,9,N/A,LONG>=5mi,789,0.237722
2016,9,N/A,MED<5mi,1468,0.442302
2016,9,N/A,SHORT<1mi,1062,0.319976
2016,9,Queens,LONG>=5mi,550510,0.585384
2016,9,Queens,MED<5mi,294016,0.312641
2016,9,Queens,SHORT<1mi,95900,0.101975
2016,9,Staten Island,LONG>=5mi,178,0.252125
2016,9,Staten Island,MED<5mi,366,0.518414
2016,9,Staten Island,SHORT<1mi,162,0.229462
2016,9,Unknown,LONG>=5mi,17425,0.142156
2016,9,Unknown,MED<5mi,75523,0.616127
2016,9,Unknown,SHORT<1mi,29629,0.241717
2016,10,Bronx,LONG>=5mi,9617,0.177164
2016,10,Bronx,MED<5mi,33515,0.617412
2016,10,Bronx,SHORT<1mi,11151,0.205423
2016,10,Brooklyn,LONG>=5mi,111794,0.177844
2016,10,Brooklyn,MED<5mi,400824,0.637637
2016,10,Brooklyn,SHORT<1mi,115990,0.184519
2016,10,EWR,LONG>=5mi,69,0.262357
2016,10,EWR,MED<5mi,52,0.197719
2016,10,EWR,SHORT<1mi,142,0.539924
2016,10,Manhattan,LONG>=5mi,1065408,0.104321
2016,10,Manhattan,MED<5mi,6651505,0.651291
2016,10,Manhattan,SHORT<1mi,2495891,0.244388
2016,10,N/A,LONG>=5mi,752,0.258686
2016,10,N/A,MED<5mi,1175,0.404197
2016,10,N/A,SHORT<1mi,980,0.337117
2016,10,Queens,LONG>=5mi,560117,0.570593
2016,10,Queens,MED<5mi,316976,0.322905
2016,10,Queens,SHORT<1mi,104547,0.106502
2016,10,Staten Island,LONG>=5mi,166,0.297491
2016,10,Staten Island,MED<5mi,255,0.456989
